Title,Tag,Area,Address,Category,Cost for two,Timings
Thomas Haas,DESSERT PARLOR,Kitsilano,"2539 West Broadway, Vancouver V6K 2E9","Desserts, Bakery",$,NO
Bella Gelateria,DESSERT PARLOR,Coal Harbour,"1001 West Cordova Street, Vancouver V6C 3L5","Desserts, Ice Cream",$$$$,YES
Rodney's Oyster House,CASUAL DINING,Yaletown,"1228 Hamilton Street, Vancouver V6B 6L2",Seafood,$$$,YES
La Taqueria,QUICK BITES,Downtown,"322 W Hastings Street, Vancouver V6B 1K6",Mexican,$,NO
Stepho's Souvlaki Greek Taverna,CASUAL DINING,West End,"1124 Davie Street, Vancouver V6E 1N1","Greek, Mediterranean",$$$$,YES
Ajisai Sushi Bar,CASUAL DINING,Kerrisdale,"2081 West 42nd Avenue, Vancouver V6M2B4","Sushi, Japanese, Asian",$$,NO
Blue Water Cafe,FINE DINING,Yaletown,"1095 Hamilton Street, Vancouver V6B 5T4","Seafood, Pacific Northwest",$$,YES
L'Abattoir,CASUAL DINING,Gastown,"217 Carrall Street, Vancouver V6B2J2","French, Pacific Northwest",$$,YES
Joe Fortes Seafood & Chop House,CASUAL DINING,West End,"777 Thurlow Street, Vancouver V6E 3V5","Seafood, Steak",$$$$,NO
Thierry Chocolaterie Patisserie Cafe,CAFÉ,West End,"1059 Alberni Street, Vancouver V6E 1A1","Desserts, Cafe",$$$,YES
Ask for Luigi,CASUAL DINING,Downtown Eastside,"305 Alexander Street, Vancouver V6A1C4",Italian,$$$$,YES
Toshi Sushi,CASUAL DINING,"Cartier Place, Mount Pleasant","Cartier Place, 181 E 16th Avenue, Vancouver V5T 3B4","Sushi, Japanese, Asian",$$$,YES
Guu Original,CASUAL DINING,West End,"838 Thurlow Street, Vancouver V6E 1W2","Japanese, Asian, Tapas",$$$$,YES
Nuba,CASUAL DINING,Gastown,"207 West Hastings Street, Vancouver V6B 2N4","Lebanese, Middle Eastern",$$$$,YES
Cartems Donuterie,DESSERT PARLOR,Downtown,"534 W Pender Street, Vancouver V6B 1V3","Desserts, Cafe",$$$$,NO
The Flying Pig,CASUAL DINING,Yaletown,"1168 Hamilton Street, Vancouver V6B 2S2","Canadian, Seafood, Bar Food",$,NO
Burgoo,CASUAL DINING,Mount Pleasant,"3096 Main Street, Vancouver V5T 3G5","French, European",$$,NO
Earnest Ice Cream,DESSERT PARLOR,Kensington,"3992 Fraser Street, Vancouver V5V4E4","Ice Cream, Desserts",$$$$,YES
Kintaro Ramen,CASUAL DINING,West End,"788 Denman Street, Vancouver V6G 2L5","Ramen, Japanese, Asian",$$$,NO
Tuc Craft Kitchen,CASUAL DINING,Gastown,"60 West Cordova Street, Vancouver V6B1C9","Pacific Northwest, Canadian",$,YES
Le Crocodile,FINE DINING,West End,"909 Burrard Street, Vancouver V6E 4T4",French,$$$,YES
Forty Ninth Parallel Cafe & Lucky's Doughnuts,CAFÉ,Mount Pleasant,"2902 Main Street, Vancouver V5T3G3","Cafe, Desserts",$,YES
Anton's Pasta Bar,CASUAL DINING,North Burnaby,"4260 East Hastings Street, Burnaby V5C 2J5",Italian,$$,YES
Peaceful Restaurant,CASUAL DINING,Fairview,"532 W Broadway, Suite 110, Vancouver V5Z 1E9",Chinese,$$$$,NO
Catch 122,CASUAL DINING,Gastown,"122 W Hastings Street, Vancouver V6B1G8",Canadian,$,NO
Gyu-Kaku Japanese BBQ,CASUAL DINING,Downtown,"888 Nelson Street, Vancouver V6Z2R9","Japanese, Asian",$$$,NO
Guu With Garlic,CASUAL DINING,West End,"1698 Robson Street, Vancouver V6G 1C7","Japanese, Asian, Tapas",$$$$,YES
Maenam,CASUAL DINING,Kitsilano,"1938 West 4th Avenue, Vancouver V6J 1M5","Thai, Asian",$$$,NO
Motomachi Shokudo,CASUAL DINING,West End,"740 Denman Street, Vancouver V6G","Ramen, Japanese, Asian",$$$,NO
Hawker's Delight,QUICK BITES,Riley Park & Little Mountain,"4127 Main Street, Vancouver V5V 3P6","Malaysian, Singaporean",$$$,YES
BETA5 Chocolates,DESSERT PARLOR,Strathcona,"413 Industrial Avenue, Vancouver V6A2P3","Desserts, Bakery",$$,YES
The Naam,CASUAL DINING,Kitsilano,"2724 W 4th Avenue, Vancouver V6K 1R1","Canadian, Asian Fusion, Asian",$$,YES
Au Petit Cafe,CASUAL DINING,Riley Park & Little Mountain,"4851 Main Street, Vancouver V5V3R9",Vietnamese,$$$,YES
The Sandbar Seafood Restaurant,CASUAL DINING,Granville Island,"1535 Johnston Street, Suite 102, Vancouver V6H 3R9",Seafood,$,YES
Alibi Room,CASUAL DINING,Gastown,"157 Alexander Street, Vancouver V6A 1B8","Canadian, Bar Food",$$$,YES
Japadog,FOOD TRUCK,Downtown,"899 Burrard Street, Vancouver V6Z1X9","Japanese, Fusion",$$,YES
Cafe Salade de Fruits,CASUAL DINING,Fairview,"Inside French Cultural Centre, 1551 W 7th Avenue, Vancouver V6H 4H7",French,$$$$,NO
Forage,CASUAL DINING,West End,"1300 Robson Street, Vancouver V6E 1C5",Canadian,$$,YES
Long's Noodle House,CASUAL DINING,Riley Park & Little Mountain,"4853 Main Street, Vancouver V5V","Chinese, Asian",$$,NO
Dinesty Dumpling House,CASUAL DINING,"Richport Town Centre, Richmond","Richport Town Centre, 160-8111 Ackroyd Road, Richmond V6X3J9","Shanghai, Chinese, Asian",$,NO
Via Tevere Pizzeria,CASUAL DINING,Grandview,"1190 Victoria Drive, Vancouver V5L 4G5","Italian, Pizza",$,YES
La Mezcaleria,CASUAL DINING,Grandview,"1622 Commercial Drive, Vancouver V5L3Y4","Mexican, Latin American",$$$,YES
Cafe de l'Orangerie,CASUAL DINING,Marpole,"1320 W 73rd Avenue, Vancouver V6P 4R3","Canadian, Desserts, Asian",$$,YES
Nicli Antica Pizzeria,CASUAL DINING,Gastown,"62 E Cordova Street, Vancouver V6A 1K3","Pizza, Italian",$$$,NO
Sal Y Limon,QUICK BITES,Mount Pleasant,"5 701 Kingsway, Vancouver V5T 2R7",Mexican,$$,NO
Chez Meme Baguette Bistro,QUICK BITES,North Burnaby,"4016 Hastings Street, Burnaby V5C 2J1",French,$$,YES
Marulilu Cafe,CAFÉ,Mount Pleasant,"451 W Broadway, Vancouver, Vancouver V5Y 1R4","Cafe, Japanese",$$$$,YES
Yolk's,CASUAL DINING,Strathcona,"1598 E, Hastings Street, Vancouver, BC V5L 1S5, Vancouver V6A1S6","Canadian, Diner",$$$,YES
Congee Noodle House,CASUAL DINING,Mount Pleasant,"141 E Broadway, Vancouver V5T 1W1","Chinese, Asian",$$,NO
Sawasdee Thai Restaurant,CASUAL DINING,Riley Park & Little Mountain,"4250 Main Street, Vancouver V5V 3R1",Thai,$$$$,YES
Marutama Ra-men,CASUAL DINING,West End,"780 Bidwell Street, Vancouver V6G 1C8",Ramen,$$,NO
Go Fish Ocean Emporium,QUICK BITES,Fairview,"1505 W 1st Avenue, Vancouver V6J1E8","Seafood, Fish and Chips",$,NO
G-men @ Nan Chu,CASUAL DINING,Central Richmond,"1160-8391 Alexandra Road, Richmond V6X 1C3","Ramen, Japanese, Asian",$$,YES
Faubourg,CAFÉ,Kerrisdale,"2156 West 41st Avenue, Kerrisdale, Vancouver, Vancouver V6M1Z5","Cafe, Desserts, French",$$$,YES
Edible Canada,CASUAL DINING,Granville Island,"1596 Johnston Street, Vancouver V6H 3R9",Canadian,$$$$,NO
Gotham Steakhouse & Cocktail Bar,FINE DINING,Downtown,"615 Seymour Street, Vancouver V6B 3K4",Steak,$$,YES
Sushiyama,CASUAL DINING,Mount Pleasant,"371 E Broadway, Vancouver V5T 3M7","Sushi, Japanese, Asian",$$$$,YES
Crackle Crème,CAFÉ,Chinatown,"245 Union Street, Vancouver V6A 3A1","Cafe, Desserts",$$,YES
Soirette Pastry Boutique,DESSERT PARLOR,Coal Harbour,"1433, West Pender Street, Vancouver V6G 2S3",Desserts,$,NO
Hi Genki,CASUAL DINING,South Burnaby,"6680 Southoaks Crescent, Burnaby V5E 4N3","Japanese, Asian",$,NO
Bubble Queen,BEVERAGE SHOP,Central Richmond,"Pacific Plaza, 1180-8888 Odlin Crescent, Richmond V6X 3Z7","Bubble Tea, Beverages",$$$$,YES
Salt Tasting Room,CASUAL DINING,Gastown,"45 Blood Alley, Vancouver V6B 1A4",Tapas,$$$,NO
Hawksworth Restaurant - Rosewood Hotel Georgia,FINE DINING,"Rosewood Hotel Georgia, Downtown","Rosewood Hotel Georgia, 801 W Georgia Street, Vancouver V6C 1P7","Pacific Northwest, Fusion",$$$,NO
YEW Seafood + Bar,FINE DINING,"Four Seasons Hotel, Downtown","Four Seasons Hotel, 791 West Georgia Street, Vancouver V6C 2T4","Seafood, Salad",$$$$,YES
Octopus' Garden,CASUAL DINING,Kitsilano,"1995 Cornwall Avenue, Vancouver V6J 1C9","Sushi, Japanese, Asian",$$$,YES
Zakkushi Charcoal Grill,CASUAL DINING,West End,"823 Denman Street, Vancouver V6G 2L6",Japanese,$$,NO
Gyo-O,CASUAL DINING,"Continental Centre, Central Richmond","Continental Centre, 3779 Sexsmith Road, Richmond V6X 3Z9","Japanese, Asian",$$,YES
Shizen Ya,CASUAL DINING,Downtown,"985 Hornby Street, Vancouver V6Z2E1","Sushi, Healthy Food",$$,NO
Seasons in the Park,CASUAL DINING,Riley Park & Little Mountain,"West 33rd Avenue and Cambie Street, Vancouver V5Y 2M4",Canadian,$$$$,NO
Finch's Tea & Coffee House,CAFÉ,Downtown,"353 West Pender Street, Vancouver V6B 1T1",Cafe,$,YES
Bao Bei Chinese Brasserie,CASUAL DINING,Chinatown,"163 Keefer Street, Vancouver V6A 1X3","Chinese, Asian, Tapas",$$$,YES
The Eatery,CASUAL DINING,Kitsilano,"3431 W Broadway, Vancouver V6R 2B3","Sushi, Japanese",$,YES
Sushimoto,CASUAL DINING,North Burnaby,"102-2201 Holdom Avenue, Burnaby V5B 0A2","Sushi, Japanese, Asian",$$$,NO
Flying Beaver Bar & Grill,CASUAL DINING,Vancouver Airport,"4760 Inglis Drive, Richmond V7B1L7",Bar Food,$$$$,NO
Rajio Public House,CASUAL DINING,Point Grey,"3763 West 10th Avenue, Vancouver V6R 2G7","Japanese, Asian, Tapas",$$$,YES
Hitoe Sushi,CASUAL DINING,Kitsilano,"3347 W 4th Avenue, Vancouver V6K 1R8","Sushi, Japanese, Asian",$$,YES
Sushi Nanaimo,CASUAL DINING,Hastings-Sunrise,"350 Nanaimo Street, Vancouver V5L","Sushi, Japanese, Asian",$,NO
Sushi Garden,CASUAL DINING,Central Burnaby,"4635 Kingsway, Burnaby V5H 2B3","Sushi, Japanese, Asian",$$,NO
Bandidas Taqueria,CASUAL DINING,Kensington,"2781 Commercial Drive, Vancouver V5N 4C5",Mexican,$$$$,YES
Shanghai River Restaurant,CASUAL DINING,Central Richmond,"110-7831 Westminster Highway, Richmond V6X","Chinese, Asian",$$$$,YES
La Quercia,CASUAL DINING,Kitsilano,"3689 West 4th Avenue, Vancouver V6R1N8",Italian,$,YES
Ganache Patisserie,BAKERY,Yaletown,"1262 Homer Street, Vancouver V6B 1C6","Bakery, Desserts, French",$$$$,NO
Glenburn Soda Fountain & Confectionery,DESSERT PARLOR,North Burnaby,"4090 Hastings Street, Burnaby V5C 2H9","Ice Cream, Desserts",$,NO
Beaucoup Bakery & Cafe,CAFÉ,Fairview,"2150 Fir Street, Vancouver V6J 3B5","Cafe, Bakery, French",$,NO
La Belle Patate,CASUAL DINING,West End,"1215 Davie Street, Vancouver V6E 1N4","Canadian, Fast Food",$$,YES
Basil Pasta Bar,CASUAL DINING,Downtown,"636 Davie Street, Vancouver V6B 2G5",Italian,$$,YES
Banana Leaf,CASUAL DINING,Fairview,"820 West Broadway, Vancouver V5Z 1J8","Malaysian, Asian",$$$$,NO
Soft Peaks Ice Cream,DESSERT PARLOR,Gastown,"25 Alexander Street, Vancouver V6A 1B2","Ice Cream, Desserts",$$$$,YES
AnnaLena,CASUAL DINING,Kitsilano,"1809 West 1st Avenue, Vancouver V6J 5B8",Pacific Northwest,$$$$,NO
Sushi Hachi,CASUAL DINING,"Pacific Plaza, Central Richmond","Pacific Plaza, 1287-8888 Odlin Crescent, Richmond V6X 3Z8","Sushi, Japanese, Asian",$$,YES
"Cheesecake, etc.",DESSERT PARLOR,Fairview,"2141 Granville Street, Vancouver V6H 3E9","Desserts, Bakery",$$$$,NO
Mega Sushi,CASUAL DINING,Steveston,"100-3131 Chatham Street, Richmond V7E2Y4","Sushi, Japanese, Asian",$$$,YES
East Is East,CASUAL DINING,Kitsilano,"3035 West Broadway, Vancouver V6K2H5","Indian, Middle Eastern",$$,NO
Kiriri Japanese Cuisine & Sushi Bar,CASUAL DINING,"Blundell Plaza, Richmond","Blundell Plaza, 8780 Blundell Road, Richmond, Richmond V6Y 2N6","Sushi, Japanese, Asian",$$$$,YES
Tableau Bistro & Bar - Loden Hotel,CASUAL DINING,Coal Harbour,"Loden Hotel, 1181 Melville Street, V6E 0A3, Vancouver V6E 4L4",French,$$$$,YES
Revolver,CAFÉ,Gastown,"325 Cambie Street, Vancouver V6B1H7",Cafe,$$,NO
The Acorn,CASUAL DINING,Riley Park & Little Mountain,"3995 Main Street, Vancouver V5V3P3",Fusion,$$$$,YES
Western Lake Chinese Seafood Restaurant,CASUAL DINING,Kensington,"4989 Victoria Drive, Vancouver V5P","Dim Sum, Chinese, Asian, Seafood",$$$$,NO
The Templeton,CASUAL DINING,Downtown,"1087 Granville Street, Vancouver V6Z 1L2",Diner,$$$,YES
Italian Kitchen,CASUAL DINING,West End,"860 Burrard Street, Vancouver, BC, Vancouver V6Z 1X9 1A1",Italian,$$$,NO
Jimoco Cafe & Pasta,CASUAL DINING,Coquitlam,"1046 Austin Avenue, Coquitlam V3K 3P3",Italian,$$$,YES
Green Leaf Sushi,CASUAL DINING,Kitsilano,"3416 W Broadway, Vancouver V6R 2B3","Sushi, Japanese, Asian",$$$,NO
Kamamarui Ramen & Don,CASUAL DINING,South Burnaby,"6514 Royal Oak Avenue, Burnaby V5H 3P4","Japanese, Korean, Asian",$,YES
Shiro,CASUAL DINING,Mount Pleasant,"3096 Cambie Street, Vancouver V5Z 2V9","Sushi, Japanese, Asian",$$,YES
Steveston Pizza Co.,CASUAL DINING,Steveston,"3400 Moncton Street, Richmond V7E 3A3","Pizza, Italian",$$$,NO
Las Margaritas Restaurant,CASUAL DINING,Kitsilano,"1999 West 4th Avenue, Vancouver V6J 1M7",Mexican,$$$$,YES
Farmer's Apprentice,CASUAL DINING,Fairview,"1535 West 6th Avenue, Vancouver V6J 3G1","Canadian, Pacific Northwest",$,YES
PiDGiN,CASUAL DINING,Gastown,"350 Carrall Street, Vancouver V6B 2J3","French, Asian Fusion",$,YES
Lupo,FINE DINING,Yaletown,"869 Hamilton Street, Vancouver V6B 2R7",Italian,$,NO
Mamalee Malaysian Delight,CASUAL DINING,Kitsilano,"3144 West Broadway, Vancouver V6K 2H3",Malaysian,$$,YES
Coast Restaurant,CASUAL DINING,West End,"1054 Alberni Street, Vancouver V6Z2V6","Seafood, Steak",$$$,NO
Tojo's,CASUAL DINING,Fairview,"1133 West Broadway, Vancouver V6H 1G1",Sushi,$,NO
L.A. Chicken,QUICK BITES,East Richmond,"160-11780 Thorpe Road, Richmond V6X 1J5",Fast Food,$$$,NO
Chewies,CASUAL DINING,Kitsilano,"2201 W 1st Avenue, Vancouver V6K 1E9",Seafood,$,NO
Tandoori Kona Restaurant,CASUAL DINING,"Cambie Plaza, Richmond","170-11700 Cambie Road, Richmond V6V 1G5",Indian,$$,YES
Save On Meats,CASUAL DINING,Gastown,"43 West Hastings Street, Vancouver V6B 1G4","Diner, Canadian",$$$,YES
CHAU VeggiExpress,CASUAL DINING,Kensington,"5052 Victoria Drive, Vancouver V5P3T8","Vietnamese, Asian",$$,YES
Pourhouse Restaurant,CASUAL DINING,Gastown,"162 Water Street, Vancouver V6B 1B2",Canadian,$$$,NO
Cardero's Restaurant,CASUAL DINING,Coal Harbour,"1583 Coal Harbour Quay, Vancouver V6G 3E7","Pacific Northwest, Seafood",$$$,NO
Cioppino's Mediterranean Grill,CASUAL DINING,Yaletown,"1133 Hamilton Street, Vancouver V6B 5P6","Italian, Mediterranean, Seafood",$$$,NO
Rain or Shine Ice Cream,DESSERT PARLOR,Kitsilano,"102-1926 West 4th Avenue, Vancouver V6J1M6","Ice Cream, Desserts",$,YES
Mimibuloveme,CAFÉ,Riley Park & Little Mountain,"5556 Cambie Street, Vancouver V5Z3A2","Desserts, Cafe, Bubble Tea",$$$,YES
HK BBQ Master,CASUAL DINING,Central Richmond,"4651 No 3 Road, Richmond, BC V6X 2C4, Canada, Richmond V6Y 1N3","Chinese, BBQ",$$$,YES
Sweet Revenge Patisserie,DESSERT PARLOR,Riley Park & Little Mountain,"4160 Main Street, Vancouver V5V 3P7","Desserts, Cafe",$,NO
Calabash Bistro,CASUAL DINING,Chinatown,"428 Carrall Street, Vancouver V6A0A7",Caribbean,$$,NO
Sura Korean Cuisine Restaurant,CASUAL DINING,West End,"1518 Robson Street, Vancouver V6G 1C3","Korean, Seafood, Asian",$$,NO
The Belgard Kitchen,BAR,"Settlement Building, Downtown Eastside","Settlement Building, 55 Dunlevy Avenue, Vancouver V6A",Canadian,$,NO
Secret Garden Tea Company,CAFÉ,Kerrisdale,"2138 West 40th Avenue, Vancouver V6M 1W5","Tea, Cafe",$$,NO
Sushi California,CASUAL DINING,Coquitlam,"501 North Road, Coquitlam V3J 1N7","Sushi, Japanese, Asian",$$$$,YES
Rangoli,CASUAL DINING,Fairview,"1488 West 11th Avenue, Vancouver V6H 1L1",Indian,$$$,NO
Brix & Mortar,CASUAL DINING,Yaletown,"1138 Homer Street, Vancouver V6B 2X6","Canadian, Tapas",$$$,NO
CinCin Ristorante + Bar,FINE DINING,West End,"1154 Robson Street, Vancouver V6E1B2",Italian,$,YES
Chez Christophe Chocolaterie Patisserie,DESSERT PARLOR,North Burnaby,"4717, HASTINGS ST, Burnaby V5C2K8 2K8",Desserts,$$$,NO
Linh Cafe - French Cooking,CASUAL DINING,Kitsilano,"2836 West 4th Avenue, Vancouver V6K 1R2","Vietnamese, French, Fusion",$$$,YES
Kimbab Cheonguk,QUICK BITES,Coquitlam,"341 N Road, Coquitlam, Coquitlam V3K 3V8","Korean, Asian",$$,YES
NAO Sushi,CASUAL DINING,Cariboo & Lougheed,"7060 Kingsway, Burnaby V5E 1E5","Sushi, Japanese, Asian",$,YES
New Town Bakery & Restaurant,CASUAL DINING,Chinatown,"148 E Pender Street, Vancouver V6A 1T5","Bakery, Hong Kong Style, Chinese, Asian",$$$$,NO
Bel Cafe - Rosewood Hotel Georgia,CAFÉ,"Rosewood Hotel Georgia, Downtown","Rosewood Hotel Georgia, 801 West Georgia Street, Vancouver V6C 3G1","Cafe, Desserts",$,YES
Pajo's Fish & Chips,QUICK BITES,Steveston,"3500 Bayview Street, Richmond V7E 5W3",Fish and Chips,$$$,YES
Romer's,CASUAL DINING,Kitsilano,"1873 West 4th Avenue, Vancouver V6J 3H3","Burger, Bar Food",$$$$,NO
Provence Marinaside,CASUAL DINING,Yaletown,"1177 Marinaside Crescent, Vancouver V6Z 2Y3","Mediterranean, Seafood",$,YES
Le Marche St. George,CAFÉ,Riley Park & Little Mountain,"4393 Saint George Street, Vancouver V5T 3S1",Cafe,$$,YES
Trafiq,CAFÉ,Riley Park & Little Mountain,"4216 Main Street, Vancouver V5V3P9",Cafe,$$,YES
House of Dosas,CASUAL DINING,Kensington,"1391 Kingsway, Kensington, Vancouver, Vancouver V5V 3E3","Sri Lankan, South Indian, Indian",$$,NO
Nook,CASUAL DINING,West End,"781 Denman Street, Vancouver V6G2L6","Italian, Pizza",$,NO
Trattoria Italian Kitchen,CASUAL DINING,Kitsilano,"1850 W 4th Avenue, Vancouver V6J 1M3 1M3",Italian,$$$$,YES
Blue Hat Bistro,CASUAL DINING,Fairview,"1505 #101, West 2nd Ave, Fairview, Vancouver, Vancouver V6J 1H2","French, Pacific Northwest",$,YES
The Warehouse,CASUAL DINING,Downtown,"989 Granville Street, Vancouver V6B2C9",Bar Food,$$$$,NO
Nelson the Seagull,CAFÉ,Gastown,"315 Carrall Street, Vancouver V6A0A7",Cafe,$$$$,NO
Sushi by Yuji,CASUAL DINING,Kensington,"2252 Kingsway, Vancouver V5N 2T7","Sushi, Japanese, Asian",$$$$,YES
Campagnolo,CASUAL DINING,Strathcona,"1020 Main Street, Vancouver","Italian, Pizza",$,NO
Belgian Fries,QUICK BITES,Grandview,"1885 Commercial Drive, Vancouver V5N4A3","Belgian, Canadian",$,YES
Pizzeria Farina,CASUAL DINING,Strathcona,"915 Main Street, Vancouver V6A 2V8",Pizza,$,NO
Wildebeest,CASUAL DINING,Gastown,"120 West Hastings Street, Vancouver V6B1G8","Grill, Pacific Northwest",$,YES
Havana,CASUAL DINING,Grandview,"1212 Commercial Drive, Vancouver V5L 3X4",Cuban,$$$$,NO
Fraser Park Restaurant,CASUAL DINING,South Burnaby,"4663 Byrne Road, Burnaby V5J 3H6","Diner, German",$$,NO
Black + Blue,CASUAL DINING,West End,"1032 Alberni Street, Vancouver V6Z 2V6","Steak, Seafood",$$$$,YES
Bon's Off Broadway,CASUAL DINING,Grandview,"2451 Nanaimo Street, Vancouver V5N 5E5","Diner, American",$$$,NO
Purebread,BAKERY,Gastown,"159 West Hastings Street, Vancouver V6B1H5","Bakery, Cafe",$$$,NO
Trilussa Pizza & Pane,QUICK BITES,Riley Park & Little Mountain,"4363 Main Street, Vancouver V5V3R1",Pizza,$$,NO
Taishoken Ramen,CASUAL DINING,Downtown,"515 Abbott Street, Vancouver V6B2L2","Ramen, Japanese, Asian",$$$,YES
Salsa And Agave,QUICK BITES,Yaletown,"1223 Pacific Boulevard, Vancouver V6Z","Mexican, Fast Food",$$$,NO
Bao Chau,CASUAL DINING,Hastings-Sunrise,"2717 East Hastings Street, Vancouver V5K 1Z8","Vietnamese, Asian",$$$$,YES
Yamato Sushi,QUICK BITES,Downtown,"616 Davie Street, Vancouver V6B 3N3","Sushi, Japanese, Asian",$$$$,NO
Fritz European Fry House,QUICK BITES,Downtown,"718 Davie Street, Vancouver V6B 1B6",Fast Food,$$$$,NO
Afghan Horsemen,CASUAL DINING,Fairview,"202-1833 Anderson Street, Vancouver V6J 1H2","Middle Eastern, Afghan",$$$$,NO
Midam Cafe & Bistro,CASUAL DINING,"North Road Centre, Cariboo & Lougheed","North Road Centre, 110-4501 North Road, Burnaby V3K3V8","Korean, Asian",$$,YES
La Grotta Del Formaggio,QUICK BITES,Grandview,"1791 Commercial Drive, Vancouver V5N4A4","Italian, Deli",$$$$,NO
Victoria Sushi,CASUAL DINING,New Westminster,"10-15 Royal Avenue East, Metro Vancouver V3L 0C7","Sushi, Japanese, Asian",$$$$,NO
Sushi Oyama,CASUAL DINING,Central Burnaby,"5152 Kingsway, Burnaby V5H 2E8","Sushi, Japanese, Asian",$$,YES
MDG Ma Dang Goul,CASUAL DINING,West End,"847 Denman Street, Vancouver V6G2L7","Korean, Asian",$,YES
The Dirty Apron,CASUAL DINING,Downtown,"540 Beatty Street, Vancouver V6B 2L3 2L3",Pacific Northwest,$$$$,NO
Bistro Sakana,CASUAL DINING,Yaletown,"1123 Mainland Street, Vancouver V6B 5P2","Sushi, Japanese, Asian",$,YES
Raisu,CASUAL DINING,Kitsilano,"2340 West 4th Avenue, Vancouver V6K 1P1",Japanese,$$$,NO
Chosun Korean Restaurant,CASUAL DINING,Victoria-Fraserview & Killarney,"3486 Kingsway, Vancouver V5R5L3","Korean, Asian",$$$,YES
Deer Garden Signatures,CASUAL DINING,"Venezia Place, Richmond","Venezia Place, 2015-8580 Alexandra Road, Richmond V6X4B3","Chinese, Asian",$,NO
The Teahouse,CASUAL DINING,"Stanley Park, West End","Stanley Park, 7501 Stanley Park Drive, Vancouver V6G 3E2",Seafood,$$$,YES
Leisure Tea & Coffee,CAFÉ,Central Richmond,"1110-8391 Alexandra Road, Richmond V6X 3W5","Cafe, Coffee and Tea, Desserts",$$$,YES
Small Victory Bakery,CAFÉ,Yaletown,"1088 Homer Street, Vancouver V6B 2W9","Cafe, Bakery",$,YES
Ichiro Japanese Restaurant,CASUAL DINING,Steveston,"12011 Second Avenue, Unit 110, Richmond V7E 3L6","Sushi, Japanese, Asian",$$$,NO
Six Acres,CASUAL DINING,Gastown,"203 Carrall Street, Vancouver V6B 2J2",American,$$$$,NO
Sun Sui Wah Seafood Restaurant,CASUAL DINING,Riley Park & Little Mountain,"3888 Main Street, Vancouver V5V 3P2","Seafood, Chinese",$$$$,NO
The One Restaurant,CASUAL DINING,South Burnaby,"5908 Kingsway, Burnaby V5J 5A6","Taiwanese, Asian, Bubble Tea",$$$,YES
Tamarind Hill,CASUAL DINING,New Westminster,"103-628 6th Avenue, Metro Vancouver V3L 1K1","Malaysian, Asian",$$,YES
Kalvin's Szechuen Restaurant,CASUAL DINING,Kensington,"5225 Victoria Drive, Vancouver V5P","Sichuan, Taiwanese, Chinese, Asian",$$$$,YES
Mr. Red Cafe,CASUAL DINING,Grandview,"2234 East Hastings Street, Vancouver V5L 1V4","Vietnamese, Asian",$,YES
Corner 23,CASUAL DINING,Riley Park & Little Mountain,"4008 Cambie Street, Vancouver V5Y2H5","Chinese, Taiwanese",$$,YES
Zest,CASUAL DINING,Kitsilano,"2775 West 16th Avenue, Vancouver V6K3X5","Sushi, Japanese, Asian",$,YES
Potter's Garden Korean BBQ,CASUAL DINING,South Burnaby,"5599 Kingsway, Burnaby V5H 4W7","Korean, Asian",$$$,NO
Shabusen Yakiniku House,CASUAL DINING,West End,"Second Floor, 202-755 Burrard Street, Vancouver V6Z 1X6","Sushi, Japanese, Korean, Asian",$,NO
